State,Population,Rape Cases,Year,Kidnapping Cases
Andhra Pradesh,49577103,971,2018,1833
Andhra Pradesh,49577103,1086,2019,902
Andhra Pradesh,49577103,1095,2020,737
Andhra Pradesh,49577103,1188,2021,835
Andhra Pradesh,49577103,621,2022,903
Arunachal Pradesh,1383727,67,2018,180
Arunachal Pradesh,1383727,63,2019,117
Arunachal Pradesh,1383727,60,2020,78
Arunachal Pradesh,1383727,83,2021,85
Arunachal Pradesh,1383727,74,2022,70
Assam,31205576,1648,2018,5869
Assam,31205576,1773,2019,9432
Assam,31205576,1657,2020,6934
Assam,31205576,1733,2021,7580
Assam,31205576,1113,2022,4560
Bihar,104099452,651,2018,11257
Bihar,104099452,730,2019,10707
Bihar,104099452,806,2020,7889
Bihar,104099452,786,2021,10198
Bihar,104099452,881,2022,11822
Chhattisgarh,25545198,2091,2018,2555
Chhattisgarh,25545198,1036,2019,2638
Chhattisgarh,25545198,1210,2020,2008
Chhattisgarh,25545198,1093,2021,2681
Chhattisgarh,25545198,1246,2022,2740
Goa,1458545,61,2018,77
Goa,1458545,72,2019,71
Goa,1458545,60,2020,45
Goa,1458545,72,2021,52
Goa,1458545,73,2022,84
Gujarat,60439692,553,2018,2345
Gujarat,60439692,528,2019,1813
Gujarat,60439692,486,2020,1198
Gujarat,60439692,589,2021,1621
Gujarat,60439692,610,2022,1846
Haryana,25351462,1296,2018,5467
Haryana,25351462,1480,2019,4023
Haryana,25351462,1373,2020,2949
Haryana,25351462,1716,2021,3554
Haryana,25351462,1787,2022,3891
Himachal Pradesh,6864602,344,2018,410
Himachal Pradesh,6864602,359,2019,455
Himachal Pradesh,6864602,331,2020,343
Himachal Pradesh,6864602,358,2021,430
Himachal Pradesh,6864602,359,2022,413
Jharkhand,32988134,1090,2018,4087
Jharkhand,32988134,1416,2019,1814
Jharkhand,32988134,1321,2020,1564
Jharkhand,32988134,1425,2021,1767
Jharkhand,32988134,1298,2022,1899
Karnataka,61095297,492,2018,3175
Karnataka,61095297,505,2019,3080
Karnataka,61095297,504,2020,2253
Karnataka,61095297,555,2021,2879
Karnataka,61095297,595,2022,3365
Kerala,33406061,1945,2018,1670
Kerala,33406061,2023,2019,386
Kerala,33406061,637,2020,307
Kerala,33406061,771,2021,364
Kerala,33406061,814,2022,403
Madhya Pradesh,72626809,5433,2018,8290
Madhya Pradesh,72626809,2485,2019,9812
Madhya Pradesh,72626809,2339,2020,7320
Madhya Pradesh,72626809,2947,2021,9511
Madhya Pradesh,72626809,3029,2022,10409
Maharashtra,112374333,2142,2018,7858
Maharashtra,112374333,2299,2019,11755
Maharashtra,112374333,2061,2020,8103
Maharashtra,112374333,2496,2021,10502
Maharashtra,112374333,2904,2022,12260
Manipur,2855794,52,2018,203
Manipur,2855794,36,2019,129
Manipur,2855794,32,2020,81
Manipur,2855794,26,2021,85
Manipur,2855794,42,2022,100
Meghalaya,2966889,87,2018,122
Meghalaya,2966889,102,2019,130
Meghalaya,2966889,67,2020,91
Meghalaya,2966889,75,2021,123
Meghalaya,2966889,75,2022,139
Mizoram,1097206,50,2018,45
Mizoram,1097206,42,2019,5
Mizoram,1097206,33,2020,3
Mizoram,1097206,26,2021,2
Mizoram,1097206,14,2022,9
Nagaland,1978502,10,2018,48
Nagaland,1978502,8,2019,64
Nagaland,1978502,4,2020,24
Nagaland,1978502,4,2021,48
Nagaland,1978502,7,2022,28
Odisha,41974218,918,2018,5336
Odisha,41974218,1382,2019,4748
Odisha,41974218,1211,2020,4179
Odisha,41974218,1456,2021,5625
Odisha,41974218,1464,2022,5854
Punjab,27743338,831,2018,2100
Punjab,27743338,1002,2019,1798
Punjab,27743338,502,2020,1399
Punjab,27743338,464,2021,1787
Punjab,27743338,517,2022,1654
Rajasthan,68548437,4335,2018,5205
Rajasthan,68548437,5997,2019,8058
Rajasthan,68548437,5310,2020,6234
Rajasthan,68548437,6337,2021,7717
Rajasthan,68548437,5399,2022,8824
Sikkim,610577,16,2018,27
Sikkim,610577,11,2019,51
Sikkim,610577,12,2020,32
Sikkim,610577,8,2021,39
Sikkim,610577,13,2022,46
Tamil Nadu,72147030,331,2018,2489
Tamil Nadu,72147030,362,2019,898
Tamil Nadu,72147030,389,2020,765
Tamil Nadu,72147030,422,2021,821
Tamil Nadu,72147030,421,2022,737
Telangana,35193978,606,2018,2096
Telangana,35193978,873,2019,2127
Telangana,35193978,764,2020,2056
Telangana,35193978,823,2021,2760
Telangana,35193978,814,2022,2981
Tripura,3673917,97,2018,166
Tripura,3673917,88,2019,166
Tripura,3673917,79,2020,127
Tripura,3673917,61,2021,136
Tripura,3673917,62,2022,105
Uttar Pradesh,199812341,3946,2018,19679
Uttar Pradesh,199812341,3065,2019,16590
Uttar Pradesh,199812341,2769,2020,12913
Uttar Pradesh,199812341,2845,2021,14554
Uttar Pradesh,199812341,3690,2022,16263
Uttarakhand,10086292,561,2018,1379
Uttarakhand,10086292,526,2019,967
Uttarakhand,10086292,487,2020,768
Uttarakhand,10086292,534,2021,819
Uttarakhand,10086292,867,2022,1169
West Bengal,91276115,1069,2018,8339
West Bengal,91276115,1069,2019,5190
West Bengal,91276115,1128,2020,9309
West Bengal,91276115,1123,2021,8339
West Bengal,91276115,1111,2022,8088
