State,Year,Kidnapping Cases
Andhra Pradesh,2018,1833
Arunachal Pradesh,2018,180
Assam,2018,5869
Bihar,2018,11257
Chhattisgarh,2018,2555
Goa,2018,77
Gujarat,2018,2345
Haryana,2018,5467
Himachal Pradesh,2018,410
Jharkhand,2018,4087
Karnataka,2018,3175
Kerala,2018,1670
Madhya Pradesh,2018,8290
Maharashtra,2018,7858
Manipur,2018,203
Meghalaya,2018,122
Mizoram,2018,45
Nagaland,2018,48
Odisha,2018,5336
Punjab,2018,2100
Rajasthan,2018,5205
Sikkim,2018,27
Tamil Nadu,2018,2489
Telangana,2018,2096
Tripura,2018,166
Uttar Pradesh,2018,19679
Uttarakhand,2018,1379
West Bengal,2018,8339
Andhra Pradesh,2019,902
Arunachal Pradesh,2019,117
Assam,2019,9432
Bihar,2019,10707
Chhattisgarh,2019,2638
Goa,2019,71
Gujarat,2019,1813
Haryana,2019,4023
Himachal Pradesh,2019,455
Jharkhand,2019,1814
Karnataka,2019,3080
Kerala,2019,386
Madhya Pradesh,2019,9812
Maharashtra,2019,11755
Manipur,2019,129
Meghalaya,2019,130
Mizoram,2019,5
Nagaland,2019,64
Odisha,2019,4748
Punjab,2019,1798
Rajasthan,2019,8058
Sikkim,2019,51
Tamil Nadu,2019,898
Telangana,2019,2127
Tripura,2019,166
Uttar Pradesh,2019,16590
Uttarakhand,2019,967
West Bengal,2019,5190
Andhra Pradesh,2020,737
Arunachal Pradesh,2020,78
Assam,2020,6934
Bihar,2020,7889
Chhattisgarh,2020,2008
Goa,2020,45
Gujarat,2020,1198
Haryana,2020,2949
Himachal Pradesh,2020,343
Jharkhand,2020,1564
Karnataka,2020,2253
Kerala,2020,307
Madhya Pradesh,2020,7320
Maharashtra,2020,8103
Manipur,2020,81
Meghalaya,2020,91
Mizoram,2020,3
Nagaland,2020,24
Odisha,2020,4179
Punjab,2020,1399
Rajasthan,2020,6234
Sikkim,2020,32
Tamil Nadu,2020,765
Telangana,2020,2056
Tripura,2020,127
Uttar Pradesh,2020,12913
Uttarakhand,2020,768
West Bengal,2020,9309
Andhra Pradesh,2021,835
Arunachal Pradesh,2021,85
Assam,2021,7580
Bihar,2021,10198
Chhattisgarh,2021,2681
Goa,2021,52
Gujarat,2021,1621
Haryana,2021,3554
Himachal Pradesh,2021,430
Jharkhand,2021,1767
Karnataka,2021,2879
Kerala,2021,364
Madhya Pradesh,2021,9511
Maharashtra,2021,10502
Manipur,2021,85
Meghalaya,2021,123
Mizoram,2021,2
Nagaland,2021,48
Odisha,2021,5625
Punjab,2021,1787
Rajasthan,2021,7717
Sikkim,2021,39
Tamil Nadu,2021,821
Telangana,2021,2760
Tripura,2021,136
Uttar Pradesh,2021,14554
Uttarakhand,2021,819
West Bengal,2021,8339
Andhra Pradesh,2022,903
Arunachal Pradesh,2022,70
Assam,2022,4560
Bihar,2022,11822
Chhattisgarh,2022,2740
Goa,2022,84
Gujarat,2022,1846
Haryana,2022,3891
Himachal Pradesh,2022,413
Jharkhand,2022,1899
Karnataka,2022,3365
Kerala,2022,403
Madhya Pradesh,2022,10409
Maharashtra,2022,12260
Manipur,2022,100
Meghalaya,2022,139
Mizoram,2022,9
Nagaland,2022,28
Odisha,2022,5854
Punjab,2022,1654
Rajasthan,2022,8824
Sikkim,2022,46
Tamil Nadu,2022,737
Telangana,2022,2981
Tripura,2022,105
Uttar Pradesh,2022,16263
Uttarakhand,2022,1169
West Bengal,2022,8088
