Sl. No.,State/UT,2019,2020,2021,Mid-Year Projected Population (in Lakhs) (2021),Rate of Kidnapping & Abduction (2021),Chargesheeting Rate (2021)
1,Andhra Pradesh,902,737,835,528.5,1.6,71.8
2,Arunachal Pradesh,117,78,85,15.4,5.5,37.3
3,Assam,9432,6934,7580,351.6,21.6,30.3
4,Bihar,10707,7889,10198,1237,8.2,53.8
5,Chhattisgarh,2638,2008,2681,296.1,9.1,36.7
6,Goa,71,45,52,15.6,3.3,32.7
7,Gujarat,1813,1198,1621,700.8,2.3,52.4
8,Haryana,4023,2949,3554,296,12,18
9,Himachal Pradesh,455,343,430,74.1,5.8,20.4
10,Jharkhand,1814,1564,1767,386.4,4.6,69.6
11,Karnataka,3080,2253,2879,669.9,4.3,10.3
12,Kerala,386,307,364,355.4,1,92.8
13,Madhya Pradesh,9812,7320,9511,848.6,11.2,27
14,Maharashtra,11755,8103,10502,1247.6,8.4,23.7
15,Manipur,129,81,85,31.7,2.7,15.2
16,Meghalaya,130,91,123,33,3.7,34.3
17,Mizoram,5,3,2,12.2,0.2,50
18,Nagaland,64,24,48,22,2.2,55.8
19,Odisha,4748,4179,5625,457.9,12.3,30.4
20,Punjab,1798,1399,1787,304,5.9,51
21,Rajasthan,8058,6234,7717,795.7,9.7,32.9
22,Sikkim,51,32,39,6.8,5.8,17.9
23,Tamil Nadu,898,765,821,764.8,1.1,27.1
24,Telangana,2127,2056,2760,377.7,7.3,35.8
25,Tripura,166,127,136,40.8,3.3,66.5
26,Uttar Pradesh,16590,12913,14554,2317,6.3,43.7
27,Uttarakhand,967,768,819,114.4,7.2,26
28,West Bengal,5190,9309,8339,982.9,8.5,70.8
Total State(S),Total State(S),97926,79709,94914,13283.6,7.1,38.6
29,Andaman and Nicobar Islands,27,7,7,4,1.7,14.3
30,Chandigarh,177,118,154,12.1,12.7,8.4
31,Dadra and Nagar Haveli and Daman and Diu,35,21,48,11.1,4.3,5.8
32,Delhi,5901,4062,5527,207,26.7,8.2
33,Jammu and Kashmir,961,868,1013,134.4,7.5,33.6
34,Ladakh,NA,0,4,3,1.3,25
35,Lakshadweep,0,1,0,0.7,0,0
36,Puducherry,9,19,40,15.8,2.5,26.9
Total UT(s),Total UT(s),7110,5096,6793,388.1,17.5,12.3
Total All India,Total All India,105036,84805,101707,13671.8,7.4,36.8
