Sl. No.,State/UT,2020,2021,2022,Mid-Year Projected Population (in Lakhs) (2022),Rate of Kidnapping and Abduction (2022),Chargesheeting Rate (2022)
1,Andhra Pradesh,737,835,903,530.3,1.7,62.4
2,Arunachal Pradesh,78,85,70,15.5,4.5,39.3
3,Assam,6934,7580,4560,354.9,12.8,24.5
4,Bihar,7889,10198,11822,1255.3,9.4,63
5,Chhattisgarh,2008,2681,2740,299.5,9.1,27.4
6,Goa,45,52,84,15.7,5.4,28.6
7,Gujarat,1198,1621,1846,709.3,2.6,48.3
8,Haryana,2949,3554,3891,299.7,13,16.9
9,Himachal Pradesh,343,430,413,74.4,5.5,15.8
10,Jharkhand,1564,1767,1899,391.4,4.9,73.4
11,Karnataka,2253,2879,3365,674.1,5,9.3
12,Kerala,307,364,403,356.8,1.1,93.7
13,Madhya Pradesh,7320,9511,10409,858.9,12.1,26.2
14,Maharashtra,8103,10502,12260,1257.4,9.8,20.9
15,Manipur,81,85,100,32,3.1,39.1
16,Meghalaya,91,123,139,33.3,4.2,19.4
17,Mizoram,3,2,9,12.3,0.7,83.3
18,Nagaland,24,48,28,22.2,1.3,65.2
19,Odisha,4179,5625,5854,460.8,12.7,19.5
20,Punjab,1399,1787,1654,306,5.4,56.8
21,Rajasthan,6234,7717,8824,804.4,11,32.7
22,Sikkim,32,39,46,6.8,6.7,11.7
23,Tamil Nadu,765,821,737,767.1,1,45.4
24,Telangana,2056,2760,2981,379.5,7.9,37.4
25,Tripura,127,136,105,41.2,2.5,63
26,Uttar Pradesh,12913,14554,16263,2340.9,6.9,43.7
27,Uttarakhand,768,819,1169,115.6,10.1,14.8
28,West Bengal,9309,8339,8088,987.6,8.2,69.4
Total State(S),Total State(S),79709,94914,100662,13403,7.5,37.8
29,Andaman and Nicobar Islands,7,7,15,4,3.7,29.4
30,Chandigarh,118,154,141,12.2,11.5,17.4
31,Dadra and Nagar Haveli and Daman and Diu,21,48,51,12,4.2,26.9
32,Delhi,4062,5527,5641,211,26.7,7.8
33,Jammu and Kashmir,868,1013,1046,135.4,7.7,27.1
34,Ladakh,0,4,8,3,2.7,50
35,Lakshadweep,1,0,0,0.7,0,NA
36,Puducherry,19,40,24,16.2,1.5,45.2
Total UT (S),Total UT (S),5096,6793,6926,394.5,17.6,11.9
Total All India,Total All India,84805,101707,107588,13797.5,7.8,36.4
