State,Year,Kidnapping_Cases
Andhra Pradesh,2018,1833
Arunachal Pradesh,2018,180
Assam,2018,5869
Bihar,2018,11257
Chhattisgarh,2018,2555
Goa,2018,77
Gujarat,2018,2345
Haryana,2018,5467
Himachal Pradesh,2018,410
Jammu & Kashmir,2018,478
Jharkhand,2018,4087
Karnataka,2018,3175
Kerala,2018,1670
Madhya Pradesh,2018,8290
Maharashtra,2018,7858
Manipur,2018,203
Meghalaya,2018,122
Mizoram,2018,45
Nagaland,2018,48
Odisha,2018,5336
Punjab,2018,2100
Rajasthan,2018,5205
Sikkim,2018,27
Tamil Nadu,2018,2489
Telangana,2018,2096
Tripura,2018,166
Uttar Pradesh,2018,19679
Uttarakhand,2018,1379
West Bengal,2018,8339
A & N Islands,2018,37
Chandigarh,2018,90
Dadra & Nagar Haveli,2018,28
Daman & Diu,2018,15
Delhi (UT),2018,7830
Lakshadweep,2018,2
Puducherry,2018,95
